CATEGORY 3.1,,,,,,,,,,,,,,,,,,,,,
Scopus search query:,,,"TITLE-ABS-KEY ( ( ( ""PointNet"" OR ""PointNet++"" OR ""PointCNN"" OR ""DGCNN"" OR ""KPConv"" OR ""PointConv"" OR ""Point transformer"" OR ""ShellNet"" OR ""PointBERT"" OR ""CurverNet"" OR ""Self organizing network"" ) AND ( ""3D data"" OR ""pointcloud"" OR ""point cloud"" ) AND ( ""construction industry"" OR ""building"" OR ""AEC"" OR ""BIM"" ) ) ) AND PUBYEAR > 2007 AND PUBYEAR < 2025 AND ( LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""cp"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) ) ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
Morbidoni C.; Pierdicca R.; Quattrini R.; Frontoni E.,"Morbidoni, C. (15136812700); Pierdicca, R. (56460209100); Quattrini, R. (55755385800); Frontoni, E. (9737451300)",15136812700; 56460209100; 55755385800; 9737451300,GRAPH CNN with RADIUS DISTANCE for SEMANTIC SEGMENTATION of HISTORICAL BUILDINGS TLS POINT CLOUDS,2020,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",44,4/W1,,95,102,7,5,10.5194/isprs-archives-XLIV-4-W1-2020-95-2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092168510&doi=10.5194%2fisprs-archives-XLIV-4-W1-2020-95-2020&partnerID=40&md5=bb9a4fc15828487f54dee17625dbae64,"Point clouds obtained via Terrestrial Laser Scanning (TLS) surveys of historical buildings are generally transformed into semantically structured 3D models with manual and time-consuming workflows. The importance of automatizing this process is widely recognized within the research community. Recently, deep neural architectures have been applied for semantic segmentation of point clouds, but few studies have evaluated them in the Cultural Heritage domain, where complex shapes and mouldings make this task challenging. In this paper, we describe our experiments with the DGCNN architecture to semantically segment historical buildings point clouds, acquired with TLS. We propose a variation of the original approach where a radius distance based technique is used instead of K-Nearest Neighbors (KNN) to represent the neighborhood of points. We show that our approach provides better results by evaluating it on two real TLS point clouds, representing two Italian historical buildings: the Ducal Palace in Urbino and the Palazzo Ferretti in Ancona.  © Authors 2020.",,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85092168510
Li L.; Song N.; Sun F.; Liu X.; Wang R.; Yao J.; Cao S.,"Li, Li (57037167200); Song, Nan (57471484600); Sun, Fei (56997988000); Liu, Xinyi (56734755200); Wang, Ruisheng (55717757900); Yao, Jian (55311401100); Cao, Shaosheng (57201750929)",57037167200; 57471484600; 56997988000; 56734755200; 55717757900; 55311401100; 57201750929,Point2Roof: End-to-end 3D building roof modeling from airborne LiDAR point clouds,2022,ISPRS Journal of Photogrammetry and Remote Sensing,193,,,17,28,11,7,10.1016/j.isprsjprs.2022.08.027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137619452&doi=10.1016%2fj.isprsjprs.2022.08.027&partnerID=40&md5=f7028dfc3039b8129a84f0d9afbed576,"Three-dimensional (3D) building roof reconstruction from airborne LiDAR point clouds is an important task in photogrammetry and computer vision. To automatically reconstruct the 3D building models at Level of Detail 2 (LoD-2) from airborne LiDAR point clouds, the data-driven approaches usually need to be performed in two steps: geometric primitive extraction and roof structure inference. Obviously, the traditional approaches are not end-to-end, the accumulated errors in different stages cannot be avoided and the final 3D roof models may not be optimal. In addition, the results of 3D roof models largely depend on the accuracy of geometric primitives (planes, lines, etc.). To solve these problems, we present a deep learning-based approach to directly reconstruct building roofs from airborne LiDAR point clouds, named Point2Roof. In our method, we start by extracting the deep features for each input point using PointNet++. Then, we identify a set of candidate corner points from the input point clouds using the extracted deep features. In addition, we also regress the offset for each candidate corner point to refine their locations. After that, these candidates are clustered into a set of initial vertices, and we further refine their locations to obtain the final accurate vertices. Finally, we propose a Paired Point Attention (PPA) module to predict the true model edges from an exhaustive set of candidate edges between the vertices. Unlike traditional roof modeling approaches, the proposed Point2Roof is end-to-end. However, due to the lack of a building reconstruction dataset, we construct a large-scale synthetic dataset to verify the effectiveness and robustness of the proposed Point2Roof. The experimental results conducted on the synthetic benchmark demonstrate that the proposed Point2Roof significantly outperforms the traditional roof modeling approaches. The experiments also show that the network trained on the synthetic dataset can be applied to the real point clouds after fine-tuning the trained model on a small real dataset. The large-scale synthetic dataset, the small real dataset and the source code of our approach are publicly available in https://github.com/Li-Li-Whu/Point2Roof. © 2022 International Society for Photogrammetry and Remote Sensing, Inc. (ISPRS)",Airborne LiDAR; Building reconstruction; Deep learning; Point clouds; Roof modeling,Article,Final,,Scopus,2-s2.0-85137619452
Zhang C.; Fan H.,"Zhang, Chaoquan (46061737700); Fan, Hongchao (55368902500)",46061737700; 55368902500,An Improved Multi-Task Pointwise Network for Segmentation of Building Roofs in Airborne Laser Scanning Point Clouds,2022,Photogrammetric Record,37,179,,260,284,24,4,10.1111/phor.12420,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133962531&doi=10.1111%2fphor.12420&partnerID=40&md5=5cd01f62c8224c949e16dacdf595fbbc,"Roof plane segmentation is an essential step in the process of 3D building reconstruction from airborne laser scanning (ALS) point clouds. The existing approaches either rely on human intervention to select the appropriate input parameters for different data-sets or they are not automatic and efficient. To tackle these issues, an improved multi-task pointwise network is proposed to simultaneously segment instances (that is, individual roof planes) and semantics (that is, groups of roof planes with similar geometric shapes) in point clouds. PointNet++ is used as a backbone network to extract robust features in the first step. The features from semantics branch are then added to the instance branch to facilitate the learning of instance embeddings. After that, a feature fusion module is added to the semantics branch to acquire more discriminative features from the backbone network. To increase the accuracy of semantic predictions, fused semantic features of the points belonging to the same instance are aggregated together. Finally, a mean-shift clustering algorithm is employed on instance embeddings to produce the instance predictions. Furthermore, a new roof data-set (called RoofNTNU) is established by taking ALS point clouds as training data for automatic and more general segmentation. Experiments on the new roof data-set show that the method achieves promising segmentation results: the mean precision (mPrec) of 96.2% for the instance segmentation task and mean accuracy (mAcc) of 94.4% for the semantic segmentation task. © 2022 The Authors. The Photogrammetric Record published by Remote Sensing and Photogrammetry Society and John Wiley & Sons Ltd.",airborne laser scanning (ALS) point clouds; data-set; instance segmentation; roof plane segmentation,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85133962531
Uggla G.; Horemuz M.,"Uggla, Gustaf (57203990214); Horemuz, Milan (6508381346)",57203990214; 6508381346,Identifying roadside objects in mobile laser scanning data using image-based point cloud segmentation,2020,Journal of Information Technology in Construction,25,,,545,560,15,4,10.36680/J.ITCON.2020.031,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099292194&doi=10.36680%2fJ.ITCON.2020.031&partnerID=40&md5=41a6b3d7c474156cb853926f99f02c75,"Capturing geographic information from a mobile platform, a method known as mobile mapping, is today one of the best methods for rapid and safe data acquisition along roads and railroads. The digitalization of society and the use of information technology in the construction industry is increasing the need for structured geometric and semantic information about the built environment. This puts an emphasis on automatic object identification in data such as point clouds. Most point clouds are accompanied by RGB images, and a recent literature review showed that these are possibly underutilized for object identification. This article presents a method (image-based point cloud segmentations - IBPCS) where semantic segmentation of images is used to filter point clouds, which drastically reduces the number of points that have to be considered in object identification and allows simpler algorithms to be used. An example implementation where IBPCS is used to identify roadside game fences along a country road is provided, and the accuracy and efficiency of the method is compared to the performance of PointNet, which is a neural network designed for end-to-end point cloud classification and segmentation. The results show that our implementation of IBPCS outperforms PointNet for the given task. The strengths of IBPCS are the ability to filter point clouds based on visual appearance and that it efficiently can process large data sets. This makes the method a suitable candidate for object identification along rural roads and railroads, where the objects of interest are scattered over long distances. COPYRIGHT: © 2020 The author(s). This is an open access article distributed under the terms of the Creative Commons Attribution 4.0 International (https://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",Deep learning; Laser scanning; Mobile mapping; Object identification; Point clouds,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85099292194
Guiotte F.; Rao M.B.; Lefèvre S.; Tang P.; Corpetti T.,"Guiotte, F. (57209605840); Rao, M.B. (57210958606); Lefèvre, S. (57203070803); Tang, P. (35436105100); Corpetti, T. (14018992700)",57209605840; 57210958606; 57203070803; 35436105100; 14018992700,Relation network for full-waveforms LiDAR classification,2020,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",43,B3,,515,520,5,1,10.5194/isprs-archives-XLIII-B3-2020-515-2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091158617&doi=10.5194%2fisprs-archives-XLIII-B3-2020-515-2020&partnerID=40&md5=176ade9c6ccb04e7c513d190811d0514,"LiDAR data are widely used in various domains related to geosciences (flow, erosion, rock deformations, etc.), computer graphics (3D reconstruction) or earth observation (detection of trees, roads, buildings, etc.). Because of the unstructured nature of remaining 3D points and because of the cost of acquisition, the LiDAR data processing is still challenging (few learning data, difficult spatial neighboring relationships, etc.). In practice, one can directly analyze the 3D points using feature extraction and then classify the points via machine learning techniques (Brodu, Lague, 2012, Niemeyer et al., 2014, Mallet et al., 2011). In addition, recent neural network developments have allowed precise point cloud segmentation, especially using the seminal pointnet network and its extensions (Qi et al., 2017a, Riegler et al., 2017). Other authors rather prefer to rasterize / voxelize the point cloud and use more conventional computers vision strategies to analyze structures (Lodha et al., 2006). In a recent work, we demonstrated that Digital Elevation Models (DEM) is reductive of the vertical component complexity describing objects in urban environments (Guiotte et al., 2020). These results highlighted the necessity to preserve the 3D structure of the point cloud as long as possible in the processing. In this paper, we therefore rely on ortho-waveforms to compute a land cover map. Ortho-waveforms are directly computed from the waveforms in a regular 3D grid. This method provides volumes somehow ""similar"" to hyperspectral data where each pixel is here associated with one ortho-waveform. Then, we exploit efficient neural networks adapted to the classification of hyperspectral data when few samples are available. Our results, obtained on the 2018 Data Fusion Contest dataset (DFC), demonstrate the efficiency of the approach. © 2020 International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives.",full waveform; land cover mapping; LiDAR data; relation network,Conference paper,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85091158617
Soilán M.; Lindenbergh R.; Riveiro B.; Sánchez-Rodríguez A.,"Soilán, M. (56803886700); Lindenbergh, R. (7801611878); Riveiro, B. (35096575300); Sánchez-Rodríguez, A. (57200043734)",56803886700; 7801611878; 35096575300; 57200043734,POINTNET for the AUTOMATIC CLASSIFICATION of AERIAL POINT CLOUDS,2019,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",4,2/W5,,445,452,7,16,10.5194/isprs-annals-IV-2-W5-445-2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067436995&doi=10.5194%2fisprs-annals-IV-2-W5-445-2019&partnerID=40&md5=b6d35c5bc45a912a7b6364ba4c572c7b,"During the last couple of years, there has been an increased interest to develop new deep learning networks specifically for processing 3D point cloud data. In that context, this work intends to expand the applicability of one of these networks, PointNet, from the semantic segmentation of indoor scenes, to outdoor point clouds acquired with Airborne Laser Scanning (ALS) systems. Our goal is to of assist the classification of future iterations of a national wide dataset such as the Actueel Hoogtebestand Nederland (AHN), using a classification model trained with a previous iteration. First, a simple application such as ground classification is proposed in order to prove the capabilities of the proposed deep learning architecture to perform an efficient point-wise classification with aerial point clouds. Then, two different models based on PointNet are defined to classify the most relevant elements in the case study data: Ground, vegetation and buildings. While the model for ground classification performs with a F-score metric above 96%, motivating the second part of the work, the overall accuracy of the remaining models is around 87%, showing consistency across different versions of AHN but with improvable false positive and false negative rates. Therefore, this work concludes that the proposed classification of future AHN iterations is feasible but needs more experimentation. © Authors 2019.",Aerial Laser Scanner; Deep Learning; Point Cloud Classification; Semantic Segmentation,Conference paper,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85067436995
Sahebdivani S.; Arefi H.; Maboudi M.,"Sahebdivani, Shima (57217682813); Arefi, Hossein (14031194500); Maboudi, Mehdi (23994453500)",57217682813; 14031194500; 23994453500,Deep Learning based Classification of Color Point Cloud for 3D Reconstruction of Interior Elements of Buildings,2020,"Iranian Conference on Machine Vision and Image Processing, MVIP",2020-February,,9116894,,,,3,10.1109/MVIP49855.2020.9116894,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087521271&doi=10.1109%2fMVIP49855.2020.9116894&partnerID=40&md5=2265d429042a973edc6c791339c784c8,"In architecture and engineering, the production of 3D models of various objects that are both simple and most closely related to reality is of particular importance. In this article, we are going to model different aspects of the interior of a building, which is performed in three general steps. In the first step, the existing point clouds of a room are semantically segmented using the PointNet Deep Learning Network. Each class of objects is then reconstructed using three methods including: Poisson, ball-pivoting and combined volumetric triangulation method and marching cubes. In the last step, each model is simplified by the methods of vertex clustering and edge collapse with quadratic error. Results are quantitatively and qualitatively evaluated for two types of objects, one with simple geometry and one with complex geometry. After selecting the optimal surface reconstruction method and simplifying it, all the objects are modeled. According to the results, the Poisson surface reconstruction method with a simplified edge collapse method provides better geometric accuracy of 0.1 mm for simpler geometry classes. In addition, for more complex geometry problems, the model produced by combined volumetric triangulation method and marching cubes with simplified edge collapse method was more suitable due to a higher accuracy of 0.022 mm. © 2020 IEEE.",3d reconstruction; deep learning; interior point cloud; model simplification; semantic segmentation,Conference paper,Final,,Scopus,2-s2.0-85087521271
An J.; Zhang J.; Ma M.,"An, Jiang (58296171500); Zhang, Jiuhong (23089281200); Ma, Mingxiao (57217490474)",58296171500; 23089281200; 57217490474,Research on the Intelligent Auxiliary Design of Subway Station Building Space Based on Deep Learning,2023,Applied Sciences (Switzerland),13,16,9242,,,,0,10.3390/app13169242,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169092912&doi=10.3390%2fapp13169242&partnerID=40&md5=a0014e2bf3e1ad2b77f1b9550cba493f,"In recent years, deep learning methods have been used with increasing frequency to solve architectural design problems. This paper aims to study the spatial functional layout of deep learning-assisted generation subway stations. Using the PointNet++ model, the subway station point cloud data are trained and then collected and processed by the author. After training and verification, the following conclusions are obtained: (1) the feasibility of spatial deep learning for construction based on PointNet++ in the form of point cloud data is verified; (2) the effectiveness of PointNet++ for the semantic segmentation and prediction of metro station point cloud information is verified; and (3) the results show that the overall 9:1 training prediction data have 60% + MIOU and 75% + accuracy for 9:1 training prediction data in the space of 20 × 20 × 20 and a block_size of 10.0. This paper combines the deep learning of 3D point cloud data with architectural design, breaking through the original status quo of two-dimensional images as research objects. From the dataset level, the limitation that research objects such as 2D images cannot accurately describe 3D space is avoided, and more intuitive and diverse design aids are provided for architects. © 2023 by the authors.",architectural design; convolutional neural networks; deep learning; PointNet++; subway station space,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85169092912
Ma J.W.; Leite F.,"Ma, Jong Won (57192367343); Leite, Fernanda (23097703400)",57192367343; 23097703400,Performance boosting of conventional deep learning-based semantic segmentation leveraging unsupervised clustering,2022,Automation in Construction,136,,104167,,,,7,10.1016/j.autcon.2022.104167,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124537832&doi=10.1016%2fj.autcon.2022.104167&partnerID=40&md5=1add189518d2cbaac841dbed862fcf48,"In Scan-to-BIM, semantically understanding 3D point clouds is an essential process that must precede 3D BIM elements generation. The main idea of this research stemmed from an assumption where recognizing a group of points would be simpler than assigning label per point from the machine's perspective when using deep learning classifiers. To validate our assumption, conventional point-wise classification problem was formulated as segment-wise classification problem leveraging unsupervised clustering. A single parameter executable hierarchical density-based algorithm and PointNet-based algorithms are chosen for segmentation and classification purposes. Using same baseline architecture, our segment-wise classification framework showed performance boosts of 1.12% and 7.66% for S3DIS and 3DFacilities compared to point-wise classification approach. Solving the nature of class imbalance problem and dataset augmentation ability are determined to be the contributing factors for showing superior results. Given semantic segmentation deep learning algorithm, our proposed framework provides an opportunity to improve the performance leveraging unsupervised method. © 2022 Elsevier B.V.",Deep learning; Hierarchical density-based spatial clustering of applications with noise; Point clouds; Scan-to-BIM; Semantic segmentation,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85124537832
Cao Y.; Teruggi S.; Fassi F.; Scaioni M.,"Cao, Yuwei (57219026348); Teruggi, Simone (57190034210); Fassi, Francesco (54787529900); Scaioni, Marco (8261815100)",57219026348; 57190034210; 54787529900; 8261815100,A Comprehensive Understanding of Machine Learning and Deep Learning Methods for 3D Architectural Cultural Heritage Point Cloud Semantic Segmentation,2022,Communications in Computer and Information Science,1651 CCIS,,,329,341,12,2,10.1007/978-3-031-17439-1_24,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141740596&doi=10.1007%2f978-3-031-17439-1_24&partnerID=40&md5=d083fb96efc5c7e8b426515493e1bbbc,"As a result of the development of Artificial Intelligence (AI) techniques, in recent years, machine learning (ML) and deep learning (DL) approaches have been widely used to semantically enrich 3D architectural cultural heritage (ACH) point clouds. While existing approaches for analyzing and interpreting point clouds continue to improve, the generalizability of pre-trained ML and DL methods to various types of historic buildings remains uncertain. In this context, a comprehensive understanding of both methodologies can enable us to make more effective use of AI techniques in the ACH domain (e.g., data exploitation, model definition, analysis, and preservation). This work presents and compares two very different approaches for the 3D ACH semantic segmentation task. Specifically, we train and test a ML method based on the Random Forest (RF) classifier on the point cloud of three chapels part of the “Sacromonte Calvario di Domodossola” and on the two test scenes of the ArCH dataset. Then, we employ dynamic graph convolutional neural network (DGCNN) as our DL method, training on the ArCH dataset and testing on both the two unseen test scenes of the ArCH dataset and on the “Sacrimonti” chapel point clouds. We provide empirical experiments to illustrate the efficiency of applying ML and DL methodologies to ACH point clouds. Following that, the advantages and limitations of these two approaches are evaluated through a systematic study of the classification results. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.",3D point cloud; Architectural heritage; Classification; Deep learning; Machine learning,Conference paper,Final,,Scopus,2-s2.0-85141740596
